station_complex_id,station_complex,hotspot_days
611,"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",65
610,"Grand Central-42 St (S,4,5,6,7)",62
628,"Fulton St (A,C,J,Z,2,3,4,5)",60
318,"34 St-Penn Station (1,2,3)",60
164,"34 St-Penn Station (A,C,E)",59
607,"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",56
310,"96 St (1,2,3)",51
614,"59 St-Columbus Circle (A,B,C,D,1)",50
602,"14 St-Union Sq (L,N,Q,R,W,4,5,6)",50
313,"72 St (1,2,3)",49
